location,temperature,humidity,wind_speed,rainfall,crowd_density,time_of_day,disruption,timestamp
"Colombo,LK",27.79,81,6.69,0.0,0.66,morning,0,
"Colombo,LK",27.79,81,6.69,0.0,2.62,morning,0,
"Colombo,LK",27.79,81,6.69,0.0,2.23,morning,0,
"Colombo,LK",27.79,81,6.69,0.0,1.17,morning,0,
"Colombo,LK",27.79,81,6.69,0.0,2.33,morning,0,
"Colombo,LK",27.79,81,6.69,0.0,3.63,morning,0,
"Colombo,LK",27.79,81,6.69,0.0,2.28,morning,0,
"Colombo,LK",27.79,81,6.69,0.0,2.73,morning,0,
"Colombo,LK",27.79,81,6.69,0.0,4.77,morning,0,
"Colombo,LK",27.79,81,6.69,0.0,1.39,morning,0,
"Malabe,LK",28.3,79,5.55,0.0,5.44,morning,1,
"Malabe,LK",28.3,79,5.55,0.0,2.7,morning,0,
"Malabe,LK",28.3,79,5.55,0.0,4.08,morning,0,
"Malabe,LK",28.3,79,5.55,0.0,4.11,morning,0,
"Malabe,LK",28.3,79,5.55,0.0,1.16,morning,0,
"Malabe,LK",28.3,79,5.55,0.0,5.25,morning,1,
"Malabe,LK",28.3,79,5.55,0.0,2.67,morning,0,
"Malabe,LK",28.3,79,5.55,0.0,1.54,morning,0,
"Malabe,LK",28.3,79,5.55,0.0,2.81,morning,0,
"Malabe,LK",28.3,79,5.55,0.0,2.71,morning,0,
"Kandy,LK",25.56,83,1.8,0.0,4.06,morning,0,
"Kandy,LK",25.56,83,1.8,0.0,2.04,morning,0,
"Kandy,LK",25.56,83,1.8,0.0,3.43,morning,0,
"Kandy,LK",25.56,83,1.8,0.0,3.54,morning,0,
"Kandy,LK",25.56,83,1.8,0.0,5.33,morning,1,
"Kandy,LK",25.56,83,1.8,0.0,2.52,morning,0,
"Kandy,LK",25.56,83,1.8,0.0,5.34,morning,1,
"Kandy,LK",25.56,83,1.8,0.0,2.56,morning,0,
"Kandy,LK",25.56,83,1.8,0.0,1.89,morning,0,
"Kandy,LK",25.56,83,1.8,0.0,2.69,morning,0,
"Galle,LK",28.89,82,8.18,0.0,0.59,morning,0,
"Galle,LK",28.89,82,8.18,0.0,0.6,morning,0,
"Galle,LK",28.89,82,8.18,0.0,1.57,morning,0,
"Galle,LK",28.89,82,8.18,0.0,4.21,morning,0,
"Galle,LK",28.89,82,8.18,0.0,2.31,morning,0,
"Galle,LK",28.89,82,8.18,0.0,1.38,morning,0,
"Galle,LK",28.89,82,8.18,0.0,1.97,morning,0,
"Galle,LK",28.89,82,8.18,0.0,2.47,morning,0,
"Galle,LK",28.89,82,8.18,0.0,5.31,morning,1,
"Galle,LK",28.89,82,8.18,0.0,1.85,morning,0,
"Jaffna,LK",29.52,69,3.89,0.0,1.09,morning,0,
"Jaffna,LK",29.52,69,3.89,0.0,4.15,morning,0,
"Jaffna,LK",29.52,69,3.89,0.0,2.85,morning,0,
"Jaffna,LK",29.52,69,3.89,0.0,2.0,morning,0,
"Jaffna,LK",29.52,69,3.89,0.0,1.35,morning,0,
"Jaffna,LK",29.52,69,3.89,0.0,3.82,morning,0,
"Jaffna,LK",29.52,69,3.89,0.0,0.6,morning,0,
"Jaffna,LK",29.52,69,3.89,0.0,1.34,morning,0,
"Jaffna,LK",29.52,69,3.89,0.0,4.14,morning,0,
"Jaffna,LK",29.52,69,3.89,0.0,1.37,morning,0,
"Anuradhapura,LK",33.21,49,3.03,0.0,2.94,morning,0,
"Anuradhapura,LK",33.21,49,3.03,0.0,1.34,morning,0,
"Anuradhapura,LK",33.21,49,3.03,0.0,4.41,morning,0,
"Anuradhapura,LK",33.21,49,3.03,0.0,1.38,morning,0,
"Anuradhapura,LK",33.21,49,3.03,0.0,4.01,morning,0,
"Anuradhapura,LK",33.21,49,3.03,0.0,5.34,morning,1,
"Anuradhapura,LK",33.21,49,3.03,0.0,1.67,morning,0,
"Anuradhapura,LK",33.21,49,3.03,0.0,4.69,morning,0,
"Anuradhapura,LK",33.21,49,3.03,0.0,2.66,morning,0,
"Anuradhapura,LK",33.21,49,3.03,0.0,2.23,morning,0,
"Colombo,LK",27.79,81,6.69,0.0,0.62,morning,0,2025-08-01T11:38:41.549326
"Colombo,LK",27.79,81,6.69,0.0,5.48,morning,1,2025-08-01T11:38:44.242109
"Colombo,LK",27.79,81,6.69,0.0,3.21,morning,0,2025-08-01T11:38:46.984853
"Colombo,LK",27.79,81,6.69,0.0,3.46,morning,0,2025-08-01T11:38:49.694021
"Colombo,LK",27.79,81,6.69,0.0,1.74,morning,0,2025-08-01T11:38:52.396005
"Colombo,LK",27.79,81,6.69,0.0,4.65,morning,0,2025-08-01T11:38:55.081045
"Colombo,LK",27.79,81,6.69,0.0,3.14,morning,0,2025-08-01T11:38:57.761733
"Colombo,LK",27.79,81,6.69,0.0,1.54,morning,0,2025-08-01T11:39:00.455733
"Colombo,LK",27.79,81,6.69,0.0,1.51,morning,0,2025-08-01T11:39:03.197006
"Colombo,LK",27.79,81,6.69,0.0,3.45,morning,0,2025-08-01T11:39:06.285802
"Malabe,LK",28.3,79,5.55,0.0,5.05,morning,1,2025-08-01T11:39:09.028930
"Malabe,LK",28.3,79,5.55,0.0,0.77,morning,0,2025-08-01T11:39:12.364065
"Malabe,LK",28.3,79,5.55,0.0,4.37,morning,0,2025-08-01T11:39:15.200229
"Malabe,LK",28.3,79,5.55,0.0,3.13,morning,0,2025-08-01T11:39:18.304223
"Malabe,LK",28.3,79,5.55,0.0,2.5,morning,0,2025-08-01T11:39:21.882121
"Malabe,LK",28.3,79,5.55,0.0,2.6,morning,0,2025-08-01T11:39:24.640561
"Malabe,LK",28.3,79,5.55,0.0,1.08,morning,0,2025-08-01T11:39:27.516918
"Malabe,LK",28.3,79,5.55,0.0,1.16,morning,0,2025-08-01T11:39:30.217290
"Malabe,LK",28.3,79,5.55,0.0,3.5,morning,0,2025-08-01T11:39:32.928147
"Malabe,LK",28.3,79,5.55,0.0,4.05,morning,0,2025-08-01T11:39:35.663822
"Kandy,LK",25.56,83,1.8,0.0,1.81,morning,0,2025-08-01T11:39:38.375873
"Kandy,LK",25.56,83,1.8,0.0,5.48,morning,1,2025-08-01T11:39:41.081945
"Kandy,LK",25.56,83,1.8,0.0,0.9,morning,0,2025-08-01T11:39:43.870451
"Kandy,LK",25.56,83,1.8,0.0,3.74,morning,0,2025-08-01T11:39:46.961868
"Kandy,LK",25.56,83,1.8,0.0,2.23,morning,0,2025-08-01T11:39:49.938931
"Kandy,LK",25.56,83,1.8,0.0,1.37,morning,0,2025-08-01T11:39:52.765964
"Kandy,LK",25.56,83,1.8,0.0,3.28,morning,0,2025-08-01T11:39:55.462712
"Kandy,LK",25.56,83,1.8,0.0,1.29,morning,0,2025-08-01T11:39:58.127078
"Kandy,LK",25.56,83,1.8,0.0,2.97,morning,0,2025-08-01T11:40:01.028342
"Kandy,LK",25.56,83,1.8,0.0,1.37,morning,0,2025-08-01T11:40:03.834919
"Galle,LK",28.89,82,8.18,0.0,4.91,morning,0,2025-08-01T11:40:06.553655
"Galle,LK",28.89,82,8.18,0.0,1.91,morning,0,2025-08-01T11:40:09.367324
"Galle,LK",28.89,82,8.18,0.0,2.59,morning,0,2025-08-01T11:40:12.665288
"Galle,LK",28.89,82,8.18,0.0,3.87,morning,0,2025-08-01T11:40:15.849598
"Galle,LK",28.89,82,8.18,0.0,4.82,morning,0,2025-08-01T11:40:18.684225
"Galle,LK",28.89,82,8.18,0.0,2.66,morning,0,2025-08-01T11:40:22.544065
"Galle,LK",28.89,82,8.18,0.0,2.58,morning,0,2025-08-01T11:40:25.586918
"Galle,LK",28.89,82,8.18,0.0,2.75,morning,0,2025-08-01T11:40:28.925933
"Galle,LK",28.89,82,8.18,0.0,5.25,morning,1,2025-08-01T11:40:32.049453
"Galle,LK",28.89,82,8.18,0.0,1.95,morning,0,2025-08-01T11:40:34.857705
"Jaffna,LK",29.52,69,3.89,0.0,5.42,morning,1,2025-08-01T11:40:37.702109
"Jaffna,LK",29.52,69,3.89,0.0,4.29,morning,0,2025-08-01T11:40:40.475034
"Jaffna,LK",29.52,69,3.89,0.0,5.2,morning,1,2025-08-01T11:40:43.179225
"Jaffna,LK",29.52,69,3.89,0.0,2.16,morning,0,2025-08-01T11:40:45.960494
"Jaffna,LK",29.52,69,3.89,0.0,3.27,morning,0,2025-08-01T11:40:48.685891
"Jaffna,LK",29.52,69,3.89,0.0,4.37,morning,0,2025-08-01T11:40:51.444829
"Jaffna,LK",29.52,69,3.89,0.0,4.1,morning,0,2025-08-01T11:40:54.175454
"Jaffna,LK",29.52,69,3.89,0.0,4.02,morning,0,2025-08-01T11:40:56.912122
"Jaffna,LK",29.52,69,3.89,0.0,3.67,morning,0,2025-08-01T11:40:59.632998
"Jaffna,LK",29.52,69,3.89,0.0,4.47,morning,0,2025-08-01T11:41:02.365193
"Anuradhapura,LK",33.21,49,3.03,0.0,2.89,morning,0,2025-08-01T11:41:05.515862
"Anuradhapura,LK",33.21,49,3.03,0.0,2.05,morning,0,2025-08-01T11:41:08.525737
"Anuradhapura,LK",33.21,49,3.03,0.0,2.72,morning,0,2025-08-01T11:41:11.454168
"Anuradhapura,LK",33.21,49,3.03,0.0,4.81,morning,0,2025-08-01T11:41:14.162929
"Anuradhapura,LK",33.21,49,3.03,0.0,2.54,morning,0,2025-08-01T11:41:17.433873
"Anuradhapura,LK",33.21,49,3.03,0.0,1.19,morning,0,2025-08-01T11:41:20.210181
"Anuradhapura,LK",33.21,49,3.03,0.0,2.66,morning,0,2025-08-01T11:41:22.895331
"Anuradhapura,LK",33.21,49,3.03,0.0,3.56,morning,0,2025-08-01T11:41:26.428093
"Anuradhapura,LK",33.21,49,3.03,0.0,4.78,morning,0,2025-08-01T11:41:29.238013
"Anuradhapura,LK",33.21,49,3.03,0.0,1.75,morning,0,2025-08-01T11:41:31.946688
"Nuwara Eliya,LK",18.08,72,1.24,0.0,2.34,morning,0,2025-08-01T11:41:34.665251
"Nuwara Eliya,LK",18.08,72,1.24,0.0,1.3,morning,0,2025-08-01T11:41:37.879644
"Nuwara Eliya,LK",18.08,72,1.24,0.0,3.84,morning,0,2025-08-01T11:41:41.721488
"Nuwara Eliya,LK",18.08,72,1.24,0.0,5.01,morning,1,2025-08-01T11:41:44.395352
"Nuwara Eliya,LK",18.08,72,1.24,0.0,3.06,morning,0,2025-08-01T11:41:47.736287
"Nuwara Eliya,LK",18.08,72,1.24,0.0,3.13,morning,0,2025-08-01T11:41:50.511790
"Nuwara Eliya,LK",18.08,72,1.24,0.0,4.5,morning,0,2025-08-01T11:41:53.232271
"Nuwara Eliya,LK",18.08,72,1.24,0.0,1.67,morning,0,2025-08-01T11:41:55.935144
"Nuwara Eliya,LK",18.08,72,1.24,0.0,2.77,morning,0,2025-08-01T11:41:59.651105
"Nuwara Eliya,LK",18.08,72,1.24,0.0,4.9,morning,0,2025-08-01T11:42:02.376649
"Nawalapitiya,LK",25.01,80,2.07,0.0,0.74,morning,0,2025-08-01T11:42:05.154035
"Nawalapitiya,LK",25.01,80,2.07,0.0,5.13,morning,1,2025-08-01T11:42:09.936325
"Nawalapitiya,LK",25.01,80,2.07,0.0,5.16,morning,1,2025-08-01T11:42:12.638041
"Nawalapitiya,LK",25.01,80,2.07,0.0,1.18,morning,0,2025-08-01T11:42:15.417911
"Nawalapitiya,LK",25.01,80,2.07,0.0,2.0,morning,0,2025-08-01T11:42:18.961861
"Nawalapitiya,LK",25.01,80,2.07,0.0,0.74,morning,0,2025-08-01T11:42:21.681665
"Nawalapitiya,LK",25.01,80,2.07,0.0,1.94,morning,0,2025-08-01T11:42:24.512273
"Nawalapitiya,LK",25.01,80,2.07,0.0,4.0,morning,0,2025-08-01T11:42:27.194034
"Nawalapitiya,LK",25.01,80,2.07,0.0,3.08,morning,0,2025-08-01T11:42:29.970256
"Nawalapitiya,LK",25.01,80,2.07,0.0,2.75,morning,0,2025-08-01T11:42:32.728233
"Hatton,LK",22.43,77,2.33,0.0,3.02,morning,0,2025-08-01T11:42:36.209971
"Hatton,LK",22.43,77,2.33,0.0,2.67,morning,0,2025-08-01T11:42:38.930481
"Hatton,LK",22.43,77,2.33,0.0,2.39,morning,0,2025-08-01T11:42:41.628569
"Hatton,LK",22.43,77,2.33,0.0,0.82,morning,0,2025-08-01T11:42:44.412282
"Hatton,LK",22.43,77,2.33,0.0,5.18,morning,1,2025-08-01T11:42:47.801765
"Hatton,LK",22.43,77,2.33,0.0,0.64,morning,0,2025-08-01T11:42:50.658376
"Hatton,LK",22.43,77,2.33,0.0,3.08,morning,0,2025-08-01T11:42:53.445618
"Hatton,LK",22.43,77,2.33,0.0,5.08,morning,1,2025-08-01T11:42:56.289429
"Hatton,LK",22.43,77,2.33,0.0,1.02,morning,0,2025-08-01T11:42:59.046691
"Hatton,LK",22.43,77,2.33,0.0,2.79,morning,0,2025-08-01T11:43:01.744326
"Colombo,LK",26.6,87,9.74,0.0,5.36,morning,1,2025-08-03T10:50:58.072101
"Colombo,LK",26.6,87,9.74,0.0,2.63,morning,0,2025-08-03T10:51:12.401539
"Colombo,LK",26.6,87,9.74,0.0,0.62,morning,0,2025-08-03T10:51:17.829995
"Colombo,LK",26.6,87,9.74,0.0,3.2,morning,0,2025-08-03T10:51:22.757239
"Colombo,LK",26.6,87,9.74,0.0,2.27,morning,0,2025-08-03T10:51:25.916054
"Colombo,LK",26.6,87,9.74,0.0,0.8,morning,0,2025-08-03T10:51:28.990619
"Colombo,LK",26.6,87,9.74,0.0,3.73,morning,0,2025-08-03T10:51:32.077350
"Colombo,LK",26.6,87,9.74,0.0,2.91,morning,0,2025-08-03T10:51:35.343730
"Colombo,LK",26.6,87,9.74,0.0,5.13,morning,1,2025-08-03T10:51:38.410725
"Colombo,LK",26.6,87,9.74,0.0,4.24,morning,0,2025-08-03T10:51:41.377619
"Malabe,LK",26.45,87,7.07,0.0,4.89,morning,0,2025-08-03T10:51:44.558970
"Malabe,LK",26.45,87,7.07,0.0,3.37,morning,0,2025-08-03T10:51:47.729908
"Malabe,LK",26.45,87,7.07,0.0,3.12,morning,0,2025-08-03T10:51:50.907775
"Malabe,LK",26.45,87,7.07,0.0,2.6,morning,0,2025-08-03T10:51:54.183289
"Malabe,LK",26.45,87,7.07,0.0,5.38,morning,1,2025-08-03T10:51:57.357368
"Malabe,LK",26.45,87,7.07,0.0,2.94,morning,0,2025-08-03T10:52:00.529267
"Malabe,LK",26.45,87,7.07,0.0,2.0,morning,0,2025-08-03T10:52:03.699003
"Malabe,LK",26.45,87,7.07,0.0,0.68,morning,0,2025-08-03T10:52:06.881321
"Malabe,LK",26.45,87,7.07,0.0,3.58,morning,0,2025-08-03T10:52:10.051006
"Malabe,LK",26.45,87,7.07,0.0,3.36,morning,0,2025-08-03T10:52:13.739478
"Kandy,LK",23.57,91,2.1,0.0,1.67,morning,0,2025-08-03T10:52:28.269531
"Kandy,LK",23.57,91,2.1,0.0,3.15,morning,0,2025-08-03T10:52:31.353056
"Kandy,LK",23.57,91,2.1,0.0,3.29,morning,0,2025-08-03T10:52:34.523008
"Kandy,LK",23.57,91,2.1,0.0,2.55,morning,0,2025-08-03T10:52:37.896649
"Kandy,LK",23.57,91,2.1,0.0,3.28,morning,0,2025-08-03T10:52:41.079589
"Kandy,LK",23.57,91,2.1,0.0,4.07,morning,0,2025-08-03T10:52:44.249257
"Kandy,LK",23.57,91,2.1,0.0,4.73,morning,0,2025-08-03T10:52:47.206709
"Kandy,LK",23.57,91,2.1,0.0,0.75,morning,0,2025-08-03T10:52:50.295427
"Kandy,LK",23.57,91,2.1,0.0,1.18,morning,0,2025-08-03T10:52:53.263766
"Kandy,LK",23.57,91,2.1,0.0,2.51,morning,0,2025-08-03T10:52:56.023552
"Galle,LK",26.38,81,8.95,0.0,1.08,morning,0,2025-08-03T10:52:59.102349
"Galle,LK",26.38,81,8.95,0.0,1.21,morning,0,2025-08-03T10:53:02.175378
"Galle,LK",26.38,81,8.95,0.0,5.29,morning,1,2025-08-03T10:53:05.470110
"Galle,LK",26.38,81,8.95,0.0,0.96,morning,0,2025-08-03T10:53:08.410020
"Galle,LK",26.38,81,8.95,0.0,3.49,morning,0,2025-08-03T10:53:11.581858
"Galle,LK",26.38,81,8.95,0.0,2.53,morning,0,2025-08-03T10:53:14.655511
"Galle,LK",26.38,81,8.95,0.0,2.32,morning,0,2025-08-03T10:53:17.735594
"Galle,LK",26.38,81,8.95,0.0,4.11,morning,0,2025-08-03T10:53:20.705522
"Galle,LK",26.38,81,8.95,0.0,2.88,morning,0,2025-08-03T10:53:23.777416
"Galle,LK",26.38,81,8.95,0.0,0.69,morning,0,2025-08-03T10:53:26.951454
"Jaffna,LK",27.17,83,4.22,0.0,4.5,morning,0,2025-08-03T10:53:30.023280
"Jaffna,LK",27.17,83,4.22,0.0,5.47,morning,1,2025-08-03T10:53:32.985863
"Jaffna,LK",27.17,83,4.22,0.0,2.12,morning,0,2025-08-03T10:53:36.051634
"Jaffna,LK",27.17,83,4.22,0.0,0.59,morning,0,2025-08-03T10:53:38.940815
"Jaffna,LK",27.17,83,4.22,0.0,2.48,morning,0,2025-08-03T10:53:42.105891
"Jaffna,LK",27.17,83,4.22,0.0,5.46,morning,1,2025-08-03T10:53:45.062697
"Jaffna,LK",27.17,83,4.22,0.0,0.75,morning,0,2025-08-03T10:53:48.141760
"Jaffna,LK",27.17,83,4.22,0.0,0.87,morning,0,2025-08-03T10:53:51.307454
"Jaffna,LK",27.17,83,4.22,0.0,1.44,morning,0,2025-08-03T10:53:54.286331
"Jaffna,LK",27.17,83,4.22,0.0,5.22,morning,1,2025-08-03T10:53:57.259245
"Anuradhapura,LK",29.2,67,4.74,0.18,2.36,morning,0,2025-08-03T10:54:00.429399
"Anuradhapura,LK",29.2,67,4.74,0.18,3.72,morning,0,2025-08-03T10:54:03.506012
"Anuradhapura,LK",29.2,67,4.74,0.18,0.69,morning,0,2025-08-03T10:54:06.578723
"Anuradhapura,LK",29.2,67,4.74,0.18,1.4,morning,0,2025-08-03T10:54:09.753509
"Anuradhapura,LK",29.2,67,4.74,0.18,5.28,morning,1,2025-08-03T10:54:12.839163
"Anuradhapura,LK",29.2,67,4.74,0.18,5.16,morning,1,2025-08-03T10:54:15.997530
"Anuradhapura,LK",29.2,67,4.74,0.18,5.0,morning,0,2025-08-03T10:54:18.964805
"Anuradhapura,LK",29.2,67,4.74,0.18,3.63,morning,0,2025-08-03T10:54:22.141106
"Anuradhapura,LK",29.2,67,4.74,0.18,4.92,morning,0,2025-08-03T10:54:25.216927
"Anuradhapura,LK",29.2,67,4.74,0.18,2.67,morning,0,2025-08-03T10:54:28.178931
"Nuwara Eliya,LK",14.72,87,1.59,0.0,1.54,morning,0,2025-08-03T10:54:31.037720
"Nuwara Eliya,LK",14.72,87,1.59,0.0,1.23,morning,0,2025-08-03T10:54:34.224260
"Nuwara Eliya,LK",14.72,87,1.59,0.0,1.44,morning,0,2025-08-03T10:54:37.186242
"Nuwara Eliya,LK",14.72,87,1.59,0.0,0.74,morning,0,2025-08-03T10:54:40.263079
"Nuwara Eliya,LK",14.72,87,1.59,0.0,3.38,morning,0,2025-08-03T10:54:43.310577
"Nuwara Eliya,LK",14.72,87,1.59,0.0,0.66,morning,0,2025-08-03T10:54:46.306302
"Nuwara Eliya,LK",14.72,87,1.59,0.0,4.05,morning,0,2025-08-03T10:54:49.380159
"Nuwara Eliya,LK",14.72,87,1.59,0.0,3.85,morning,0,2025-08-03T10:54:52.549693
"Nuwara Eliya,LK",14.72,87,1.59,0.0,1.75,morning,0,2025-08-03T10:54:55.624313
"Nuwara Eliya,LK",14.72,87,1.59,0.0,5.38,morning,1,2025-08-03T10:54:58.692744
"Nawalapitiya,LK",21.48,95,1.33,0.0,3.82,morning,0,2025-08-03T10:55:01.768309
"Nawalapitiya,LK",21.48,95,1.33,0.0,1.67,morning,0,2025-08-03T10:55:04.841228
"Nawalapitiya,LK",21.48,95,1.33,0.0,2.46,morning,0,2025-08-03T10:55:07.905093
"Nawalapitiya,LK",21.48,95,1.33,0.0,4.35,morning,0,2025-08-03T10:55:11.182279
"Nawalapitiya,LK",21.48,95,1.33,0.0,2.47,morning,0,2025-08-03T10:55:14.260167
"Nawalapitiya,LK",21.48,95,1.33,0.0,3.13,morning,0,2025-08-03T10:55:17.229519
"Nawalapitiya,LK",21.48,95,1.33,0.0,1.1,morning,0,2025-08-03T10:55:20.292801
"Nawalapitiya,LK",21.48,95,1.33,0.0,2.0,morning,0,2025-08-03T10:55:23.474755
"Nawalapitiya,LK",21.48,95,1.33,0.0,4.65,morning,0,2025-08-03T10:55:26.441504
"Nawalapitiya,LK",21.48,95,1.33,0.0,4.24,morning,0,2025-08-03T10:55:30.745156
"Hatton,LK",18.52,95,1.8,0.0,4.33,morning,0,2025-08-03T10:55:33.710972
"Hatton,LK",18.52,95,1.8,0.0,3.63,morning,0,2025-08-03T10:55:36.786013
"Hatton,LK",18.52,95,1.8,0.0,0.52,morning,0,2025-08-03T10:55:39.846091
"Hatton,LK",18.52,95,1.8,0.0,1.7,morning,0,2025-08-03T10:55:42.806313
"Hatton,LK",18.52,95,1.8,0.0,5.34,morning,1,2025-08-03T10:55:45.938334
"Hatton,LK",18.52,95,1.8,0.0,1.81,morning,0,2025-08-03T10:55:48.869580
"Hatton,LK",18.52,95,1.8,0.0,1.64,morning,0,2025-08-03T10:55:51.932018
"Hatton,LK",18.52,95,1.8,0.0,4.91,morning,0,2025-08-03T10:55:55.114864
"Hatton,LK",18.52,95,1.8,0.0,2.35,morning,0,2025-08-03T10:55:58.190241
"Hatton,LK",18.52,95,1.8,0.0,5.12,morning,1,2025-08-03T10:56:01.362206
"Colombo,LK",27.29,87,10.01,0.0,4.54,morning,0,2025-08-03T11:04:18.996807
"Colombo,LK",27.29,87,10.01,0.0,1.03,morning,0,2025-08-03T11:04:21.963442
"Colombo,LK",27.29,87,10.01,0.0,2.12,morning,0,2025-08-03T11:04:25.033502
"Colombo,LK",27.29,87,10.01,0.0,2.78,morning,0,2025-08-03T11:04:28.007294
"Colombo,LK",27.29,87,10.01,0.0,4.7,morning,0,2025-08-03T11:04:30.967551
"Colombo,LK",27.29,87,10.01,0.0,2.94,morning,0,2025-08-03T11:04:33.843625
"Colombo,LK",27.29,87,10.01,0.0,0.66,morning,0,2025-08-03T11:04:37.011495
"Colombo,LK",27.29,87,10.01,0.0,4.39,morning,0,2025-08-03T11:04:40.089335
"Colombo,LK",27.29,87,10.01,0.0,3.17,morning,0,2025-08-03T11:04:43.148004
"Colombo,LK",27.29,87,10.01,0.0,4.34,morning,0,2025-08-03T11:04:46.225027
"Malabe,LK",27.05,88,7.52,0.0,4.26,morning,0,2025-08-03T11:04:49.510423
"Malabe,LK",27.05,88,7.52,0.0,0.66,morning,0,2025-08-03T11:04:52.579387
"Malabe,LK",27.05,88,7.52,0.0,3.27,morning,0,2025-08-03T11:04:55.647583
"Malabe,LK",27.05,88,7.52,0.0,5.33,morning,1,2025-08-03T11:04:58.721422
"Malabe,LK",27.05,88,7.52,0.0,5.18,morning,1,2025-08-03T11:05:01.988741
"Malabe,LK",27.05,88,7.52,0.0,4.13,morning,0,2025-08-03T11:05:04.871890
"Malabe,LK",27.05,88,7.52,0.0,4.57,morning,0,2025-08-03T11:05:08.043208
"Malabe,LK",27.05,88,7.52,0.0,1.0,morning,0,2025-08-03T11:05:11.116383
"Malabe,LK",27.05,88,7.52,0.0,2.28,morning,0,2025-08-03T11:05:14.187372
"Malabe,LK",27.05,88,7.52,0.0,4.62,morning,0,2025-08-03T11:05:17.259303
"Kandy,LK",23.38,93,2.07,0.0,3.73,morning,0,2025-08-03T11:05:20.316985
"Kandy,LK",23.38,93,2.07,0.0,5.11,morning,1,2025-08-03T11:05:23.504778
"Kandy,LK",23.38,93,2.07,0.0,5.16,morning,1,2025-08-03T11:05:26.679815
"Kandy,LK",23.38,93,2.07,0.0,1.89,morning,0,2025-08-03T11:05:29.751555
"Kandy,LK",23.38,93,2.07,0.0,4.93,morning,0,2025-08-03T11:05:32.721508
"Kandy,LK",23.38,93,2.07,0.0,3.12,morning,0,2025-08-03T11:05:35.795913
"Kandy,LK",23.38,93,2.07,0.0,0.95,morning,0,2025-08-03T11:05:38.851737
"Kandy,LK",23.38,93,2.07,0.0,3.01,morning,0,2025-08-03T11:05:42.039361
"Kandy,LK",23.38,93,2.07,0.0,3.44,morning,0,2025-08-03T11:05:45.517130
"Kandy,LK",23.38,93,2.07,0.0,3.72,morning,0,2025-08-03T11:05:48.590669
